Team Name,Region,CSL Link,Series Record,Series Wins,Series Losses,Game Record,Game Wins,Game Losses,Average Rank,Average Rank Number,First OP.GG,Second OP.GG
Drexel Squad Beta,North-east | 4,https://cstarleague.com/lol/teams/11471,4 - 2,4,2,8 - 6,8,6,Platinum 3,18.0,"https://na.op.gg/multi/query=uwu Rifle,Kilo Khaos,Erchrioma,LucSho41,0ut FIayed,ReerandRee,irel,",
DeSales Esports,North-east | 4,https://cstarleague.com/lol/teams/8814,2 - 3,2,3,6 - 6,6,6,Platinum 4,17.0,"https://na.op.gg/multi/query=Saltopus,Santa Gragas,Tyirshkid,FlyingXela,ThePerson0n,TeaandCats,chrisyang1836,",
The Warriors,North-east | 4,https://cstarleague.com/lol/teams/10937,2 - 4,2,4,5 - 9,5,9,Silver 1,12.0,"https://na.op.gg/multi/query=Shadow Seminar,beastsquirrel,Swyperr,Oddpee,Vintagethicc,isaiharock,Dr Owl,NulledNVoided,1 Thrust Man,",
Rock.lol Green,North-east | 4,https://cstarleague.com/lol/teams/5343,2 - 2,2,2,4 - 5,4,5,Platinum 4,17.0,"https://na.op.gg/multi/query=Wicked Bvllet,Frostfull,Gigabyted,BWoods44,Quinn Davidson,Angelous,Narthen,Griffout,",
Penn State Academy,North-east | 4,https://cstarleague.com/lol/teams/11126,2 - 1,2,1,4 - 3,4,3,Diamond 2,23.0,"https://na.op.gg/multi/query=Billy D,Zentriv,Functor,Hongdangmoo,9038,",
PCT League Varsity,North-east | 4,https://cstarleague.com/lol/teams/11304,2 - 2,2,2,4 - 5,4,5,Platinum 3,18.0,"https://na.op.gg/multi/query=1bubbainpa,SleepingRibbon,Hbomb,Delldor,Jackieboyy,",
ONE TRICKS ONLY,North-east | 4,https://cstarleague.com/lol/teams/7532,1 - 2,1,2,3 - 4,3,4,Platinum 1,20.0,"https://na.op.gg/multi/query=one tricks only,iCutForJesus,nontoxic topgod,Zombsowned,Ionian Dance,Áimer,No J Ling,",
Arcadia Knights B,North-east | 4,https://cstarleague.com/lol/teams/10169,0 - 3,0,3,1 - 6,1,6,Silver 3,10.0,"https://na.op.gg/multi/query=D5 Zero LP,Icé,TheMightyDuck123,Big Jingor,Swiftdeus,Kojo Relapse,",
Arcadia Knights,North-east | 4,https://cstarleague.com/lol/teams/10168,0 - 3,0,3,1 - 6,1,6,Gold 1,16.0,"https://na.op.gg/multi/query=D5 Zero LP,SoulReaper61,VodkaCrotch,AwkwardTurtleQQ,KnightVX,Chattin1Reformed,",
RMU Team Blue,North-east | 4,https://cstarleague.com/lol/teams/7318,0 - 4,0,4,0 - 8,0,8,Silver 4,9.0,"https://na.op.gg/multi/query=Mittica,Slurpe,NormTrooper67,russ217187,Strandomintoo,Gir Knives,Lanks,",
