teamName,region,link,rank,rankValue,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,playerList,opgg1,opgg2
MUES JV C,North-east | 2,/lol/teams/9175,Gold 1,16,0,5,0,10,Platinum 2,19,"['Humor', 'Katfished', 'Leché', 'Artails1', 'Hickit', 'Keleros the dk', 'Weetpoppy', 'Japanda88']","https://na.op.gg/multi/query=Humor,Katfished,Leché,Artails1,Hickit,Keleros the dk,Weetpoppy,Japanda88,",https://na.op.gg/multi/query=
Notre Dame JV A,North-east | 1,/lol/teams/10426,Platinum 1,20,6,0,12,0,Gold 1,16,"['JackMcgRocks', 'Wearin Sweats', 'malfeasance', 'Smarkon', 'Mr Meeseek']","https://na.op.gg/multi/query=JackMcgRocks,Wearin Sweats,malfeasance,Smarkon,Mr Meeseek,",https://na.op.gg/multi/query=
Akron Zips Club Diamond,North-east | 1,/lol/teams/7010,Platinum 2,19,5,0,10,0,Diamond 3,22,"['Sloppy Joe', 'Awesominator54', 'MrKiwiism', 'BrotherKingYugo', 'Maltier', 'Le Roi', 'moonssang', 'HiddenNinja', 'dagda914', 'Kyancer', 'Overlimitless']","https://na.op.gg/multi/query=Sloppy Joe,Awesominator54,MrKiwiism,BrotherKingYugo,Maltier,Le Roi,moonssang,HiddenNinja,dagda914,Kyancer,","https://na.op.gg/multi/query=Overlimitless,"
Goshen College Leaf League,North-east | 1,/lol/teams/9917,Gold 1,16,4,1,8,3,Platinum 3,18,"['Joshmasa99', 'Polwygle', 'Asenjo17', 'FlG', 'Agnifaniii', 'Atovox', 'MountainGoose', 'IxDe']","https://na.op.gg/multi/query=Joshmasa99,Polwygle,Asenjo17,FlG,Agnifaniii,Atovox,MountainGoose,IxDe,",https://na.op.gg/multi/query=
SVU Knights Open,North-east | 1,/lol/teams/11084,Bronze 1,8,3,2,6,5,Gold 4,13,"['M1k3d4nm4n', 'TheDoltishDingo', 'SøulSmîth', 'Althron', 'Halzyon', 'HoneyTbone', 'Vagüe', 'Psiren']","https://na.op.gg/multi/query=M1k3d4nm4n,TheDoltishDingo,SøulSmîth,Althron,Halzyon,HoneyTbone,Vagüe,Psiren,",https://na.op.gg/multi/query=
NKU Esports B,North-east | 1,/lol/teams/8860,Platinum 4,17,2,2,6,4,Platinum 2,19,"['Montoon', 'The Jeek', 'KnightofUmbar', 'PrivateWong', 'Ronexiaz', 'Luckur', 'Fibulator', 'Devilish Loli']","https://na.op.gg/multi/query=Montoon,The Jeek,KnightofUmbar,PrivateWong,Ronexiaz,Luckur,Fibulator,Devilish Loli,",https://na.op.gg/multi/query=
Malefic Visions,North-east | 1,/lol/teams/9115,Diamond 3,22,2,1,5,2,Diamond 2,23,"['sammystinky', 'KartGu', 'Towd47', 'Snowﬂake', 'Hiratechi', 'lil kahuna', 'ok that was epic', 'Digimonlove', 'helper08']","https://na.op.gg/multi/query=sammystinky,KartGu,Towd47,Snowﬂake,Hiratechi,lil kahuna,ok that was epic,Digimonlove,helper08,",https://na.op.gg/multi/query=
CU Esports - LoL,North-east | 1,/lol/teams/9442,Silver 1,12,2,2,4,6,Gold 2,15,"['Riggatoni', 'Sarlala', 'Daddyy B', 'Karmotrine', 'The Beastar', 'AshtonArg', 'SSFTrunks', 'Sunnymight']","https://na.op.gg/multi/query=Riggatoni,Sarlala,Daddyy B,Karmotrine,The Beastar,AshtonArg,SSFTrunks,Sunnymight,",https://na.op.gg/multi/query=
WLU LoL,North-east | 1,/lol/teams/10216,Gold 2,15,1,3,3,6,Diamond 4,21,"['hp73', 'BoomZter', 'Ketchupants73', 'pingky', 'Anthony Crowley', 'Excited0101', 'InheritanceLight', 'TheG0ose', 'Roonrock', 'Sorâ']","https://na.op.gg/multi/query=hp73,BoomZter,Ketchupants73,pingky,Anthony Crowley,Excited0101,InheritanceLight,TheG0ose,Roonrock,Sorâ,",https://na.op.gg/multi/query=
WKU Hilltoppers B,North-east | 1,/lol/teams/2439,Silver 2,11,1,3,2,6,Gold 2,15,"['WKU eSports', 'Kiraeyl', 'RivalC', 'Tazmaniak', 'AggroZen', 'Montresk', 'Ev3rnight', 'Miffed', 'maýa']","https://na.op.gg/multi/query=WKU eSports,Kiraeyl,RivalC,Tazmaniak,AggroZen,Montresk,Ev3rnight,Miffed,maýa,",https://na.op.gg/multi/query=
CCU League of Legends,North-east | 1,/lol/teams/10061,Silver 1,12,1,2,2,4,Gold 1,16,"['Motíons', 'Shådows', 'CCU Collins', 'VitaMoriendum', 'CCUEsports', 'This is not Joan', 'Wondersha']","https://na.op.gg/multi/query=Motíons,Shådows,CCU Collins,VitaMoriendum,CCUEsports,This is not Joan,Wondersha,",https://na.op.gg/multi/query=
WVWCgg,North-east | 1,/lol/teams/11478,Silver 1,12,0,4,0,8,Gold 2,15,"['Thlnk', 'Kleptomancy GP', 'Borioles', 'AbeThyHam', 'BillyyBoi', 'pika', '3x10tothe8']","https://na.op.gg/multi/query=Thlnk,Kleptomancy GP,Borioles,AbeThyHam,BillyyBoi,pika,3x10tothe8,",https://na.op.gg/multi/query=
PurdueFW - C Team,North-east | 1,/lol/teams/9194,Gold 3,14,0,3,0,6,Platinum 4,17,"['Din0saur', 'Locran', 'JGwentworth09', 'emulatedawsome', 'david4scouts', 'King MaxweII', 'pieguy84']","https://na.op.gg/multi/query=Din0saur,Locran,JGwentworth09,emulatedawsome,david4scouts,King MaxweII,pieguy84,",https://na.op.gg/multi/query=
Notre Dame JV B,North-east | 1,/lol/teams/11001,Gold 3,14,0,4,0,8,Platinum 3,18,"['420blazek', 'GussyBoy', 'Wearin Sweats', 'Wolosaur', 'Merciiess', 'Uglyboyswag95', 'Narutorunner76', 'Noodlemaker', 'QuadForm']","https://na.op.gg/multi/query=420blazek,GussyBoy,Wearin Sweats,Wolosaur,Merciiess,Uglyboyswag95,Narutorunner76,Noodlemaker,QuadForm,",https://na.op.gg/multi/query=
Team Pepega,North | 1,/lol/teams/9983,Diamond 3,22,6,1,13,2,Diamond 3,22,"['Derry', 'AuDigger', 'Outlet', 'Tellur', 'ooogaboooga']","https://na.op.gg/multi/query=Derry,AuDigger,Outlet,Tellur,ooogaboooga,",https://na.op.gg/multi/query=
Western JV,North | 1,/lol/teams/7023,Platinum 3,18,6,1,12,3,Diamond 1,24,"['hk jger', 'ACanadianPanda', 'Bashful Iceberg', 'nahimdone', 'SpoileSummon', 'Vandios', 'xbluejayx', 'tyson xo']","https://na.op.gg/multi/query=hk jger,ACanadianPanda,Bashful Iceberg,nahimdone,SpoileSummon,Vandios,xbluejayx,tyson xo,",https://na.op.gg/multi/query=
McMaster Red,North | 1,/lol/teams/10489,Diamond 3,22,6,1,12,3,Master,25,"['TheElitePharaoh', 'AyoItsJango', 'Sekiro', 'Vaalen', 'Looter', 'KVB', 'TsundereCoke', 'Pett', 'warnedjacka', 'Whìtney', 'The Yung Yam God', 'gangsterJ', 'Stirrling', 'Villanen', 'Skum']","https://na.op.gg/multi/query=TheElitePharaoh,AyoItsJango,Sekiro,Vaalen,Looter,KVB,TsundereCoke,Pett,warnedjacka,Whìtney,","https://na.op.gg/multi/query=The Yung Yam God,gangsterJ,Stirrling,Villanen,Skum,"
