teamName,region,link,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,rank,rankValue,playerList,opgg1,opgg2
SFU Academy Black,North-west,/lol/teams/10480,9,2,19,6,Gold 2,15,Silver 2,11,"['bubly', 'Incoming Nerf', 'Lullencia', 'Murasakibara', 'Plö', 'FlaminMadman', 'NoCooldowns', 'SpecialtyNougeht']","https://na.op.gg/multi/query=bubly,Incoming Nerf,Lullencia,Murasakibara,Plö,FlaminMadman,NoCooldowns,SpecialtyNougeht,",https://na.op.gg/multi/query=
UofA Gold,North-west,/lol/teams/10468,8,3,17,7,Gold 2,15,Gold 3,14,"['Cyroean Maji', 'Nyat', 'min012', 'Sømå', 'WITHINSANITY', 'BaguetteFresh', 'Ahroe', 'Glitchy Shadow', 'win ok']","https://na.op.gg/multi/query=Cyroean Maji,Nyat,min012,Sømå,WITHINSANITY,BaguetteFresh,Ahroe,Glitchy Shadow,win ok,",https://na.op.gg/multi/query=
OU Infinite,North-east | 1,/lol/teams/8993,11,0,22,2,Gold 3,14,Silver 3,10,"['Foreign Guy', 'xGreen7', 'Zakch', 'TheAsianInvasion', 'RoxTytan', 'oop', 'Flabbyb', 'Slampus']","https://na.op.gg/multi/query=Foreign Guy,xGreen7,Zakch,TheAsianInvasion,RoxTytan,oop,Flabbyb,Slampus,",https://na.op.gg/multi/query=
MESC JV II A,Central | 4,/lol/teams/4611,7,3,17,6,Gold 1,16,Gold 2,15,"['Gransee', 'Spaghettius', 'IPIasma', 'Tobiswirls24', 'Donyatsuu', 'The Real JZ', 'Sárnait']","https://na.op.gg/multi/query=Gransee,Spaghettius,IPIasma,Tobiswirls24,Donyatsuu,The Real JZ,Sárnait,",https://na.op.gg/multi/query=
Macronauts,North,/lol/teams/9461,9,2,19,5,Gold 1,16,Gold 4,13,"['ahrikidding', 'VoodooKoala', 'EmoChanChan', 'SteamedBaozi', 'möhad', 'dsotm0626', 'Seito']","https://na.op.gg/multi/query=ahrikidding,VoodooKoala,EmoChanChan,SteamedBaozi,möhad,dsotm0626,Seito,",https://na.op.gg/multi/query=
LOLUTD TEAM LOU,Central | 1,/lol/teams/11148,6,3,13,6,Gold 3,14,Silver 3,10,"['Faery', 'Thrillow', 'Dominion Endiel', 'SquiMoo', 'Chi Panda', 'S4xt0n', 'Random142857', 'Wildfirre', 'Marcus Orchestra']","https://na.op.gg/multi/query=Faery,Thrillow,Dominion Endiel,SquiMoo,Chi Panda,S4xt0n,Random142857,Wildfirre,Marcus Orchestra,",https://na.op.gg/multi/query=
Kevin’s Needlessly Large Rods,North-east | 4,/lol/teams/11354,11,0,22,2,Gold 1,16,Gold 3,14,"['FizzInHerViJanna', 'Jennibear', 'paradoxxd', 'Wywh', 'Sienrid', 'Kermeat', 'bilalawan19', 'SamsonOption', '404 JG NOT FOUND', 'UnaidedPleasure', 'RoseThorns09']","https://na.op.gg/multi/query=FizzInHerViJanna,Jennibear,paradoxxd,Wywh,Sienrid,Kermeat,bilalawan19,SamsonOption,404 JG NOT FOUND,UnaidedPleasure,","https://na.op.gg/multi/query=RoseThorns09,"
Illinois Wesleyan JV,Central | 3,/lol/teams/6590,7,4,15,8,Gold 2,15,Silver 3,10,"['Ivory Keys', 'Raj Te Lag Comp', 'CoachFletcher', 'Baezi', 'Papa Jondu', 'Psapa', 'FishH3adz', 'JerryFish', 'Bicarbonate', 'Koguo', 'West Coast Carry', 'Teddy Broesevelt']","https://na.op.gg/multi/query=Ivory Keys,Raj Te Lag Comp,CoachFletcher,Baezi,Papa Jondu,Psapa,FishH3adz,JerryFish,Bicarbonate,Koguo,","https://na.op.gg/multi/query=West Coast Carry,Teddy Broesevelt,"
Esports at Florida State White,South-east,/lol/teams/9594,9,2,19,6,Gold 3,14,Gold 3,14,"['MegaBlazeiken', 'Olliepop', 'undeadkang', 'Mrman4321', 'no cªp', 'Armin546', 'itsdune', 'TheJodran', 'YaBoyTugBoat', 'The Largest Yeet', 'Eset']","https://na.op.gg/multi/query=MegaBlazeiken,Olliepop,undeadkang,Mrman4321,no cªp,Armin546,itsdune,TheJodran,YaBoyTugBoat,The Largest Yeet,","https://na.op.gg/multi/query=Eset,"
GTWHITE,East,/lol/teams/11210,8,3,16,7,Gold 3,14,Silver 1,12,"['Username10010', 'herrenchan', 'Shak', 'TheChosenLegend', 'Omega Guide', 'Chjvas', 'iEnvy', 'skt t2 finn', 'YomamiPanda']","https://na.op.gg/multi/query=Username10010,herrenchan,Shak,TheChosenLegend,Omega Guide,Chjvas,iEnvy,skt t2 finn,YomamiPanda,",https://na.op.gg/multi/query=
